Iteration: 0 | Loss: 0.0 | Current Suffix: output!!!!!!!! 
Iteration: 1 | Loss: 0.0 | Current Suffix:0001!!!!!!!! 
Iteration: 2 | Loss: 0.0 | Current Suffix:Blu!!!!!!!! 
Iteration: 3 | Loss: 0.0 | Current Suffix: Companion!!!!!!!! 
Iteration: 4 | Loss: 0.0 | Current Suffix:ventory!!!!!!!! 
Iteration: 5 | Loss: 0.0 | Current Suffix: Adjusted!!!!!!!! 
Iteration: 6 | Loss: 0.0 | Current Suffix:Container!!!!!!!! 
Iteration: 7 | Loss: 0.0 | Current Suffix: bedrooms!!!!!!!! 
Iteration: 8 | Loss: 0.0 | Current Suffix: cogn!!!!!!!! 
Iteration: 9 | Loss: 0.0 | Current Suffix: aux!!!!!!!! 
Iteration: 10 | Loss: 0.0 | Current Suffix: adjustment!!!!!!!! 
Iteration: 11 | Loss: 0.0 | Current Suffix:employment!!!!!!!! 
Iteration: 12 | Loss: 0.0 | Current Suffix: Genocide!!!!!!!! 
Iteration: 13 | Loss: 0.0 | Current Suffix:Mos!!!!!!!! 
Iteration: 14 | Loss: 0.0 | Current Suffix: recip!!!!!!!! 
Iteration: 15 | Loss: 0.0 | Current Suffix:hook!!!!!!!! 
Iteration: 16 | Loss: 0.0 | Current Suffix: flawless!!!!!!!! 
Iteration: 17 | Loss: 0.0 | Current Suffix: embro!!!!!!!! 
Iteration: 18 | Loss: 0.0 | Current Suffix: Henri!!!!!!!! 
Iteration: 19 | Loss: 0.0 | Current Suffix: Kendall!!!!!!!! 
Iteration: 20 | Loss: 0.0 | Current Suffix:Tan!!!!!!!! 
Iteration: 21 | Loss: 0.0 | Current Suffix: Pengu!!!!!!!! 
Iteration: 22 | Loss: 0.0 | Current Suffix:aru!!!!!!!! 
Iteration: 23 | Loss: 0.0 | Current Suffix:orp!!!!!!!! 
Iteration: 24 | Loss: 0.0 | Current Suffix:Activ!!!!!!!! 
Iteration: 25 | Loss: 0.0 | Current Suffix:venant!!!!!!!! 
Iteration: 26 | Loss: 0.0 | Current Suffix: NGO!!!!!!!! 
Iteration: 27 | Loss: 0.0 | Current Suffix: Volunteer!!!!!!!! 
Iteration: 28 | Loss: 0.0 | Current Suffix:nants!!!!!!!! 
Iteration: 29 | Loss: 0.0 | Current Suffix:][/!!!!!!!! 
Iteration: 30 | Loss: 0.0 | Current Suffix: Wra!!!!!!!! 
Iteration: 31 | Loss: 0.0 | Current Suffix:ummies!!!!!!!! 
Iteration: 32 | Loss: 0.0 | Current Suffix: franc!!!!!!!! 
Iteration: 33 | Loss: 0.0 | Current Suffix:Wi!!!!!!!! 
Iteration: 34 | Loss: 0.0 | Current Suffix: "+!!!!!!!! 
Iteration: 35 | Loss: 0.0 | Current Suffix:dry!!!!!!!! 
Iteration: 36 | Loss: 0.0 | Current Suffix:ModLoader!!!!!!!! 
Iteration: 37 | Loss: 0.0 | Current Suffix: addon!!!!!!!! 
Iteration: 38 | Loss: 0.0 | Current Suffix: username!!!!!!!! 
Iteration: 39 | Loss: 0.0 | Current Suffix: Programming!!!!!!!! 
Iteration: 40 | Loss: 0.0 | Current Suffix:Iv!!!!!!!! 
Iteration: 41 | Loss: 0.0 | Current Suffix:Vill!!!!!!!! 
Iteration: 42 | Loss: 0.0 | Current Suffix:Factor!!!!!!!! 
Iteration: 43 | Loss: 0.0 | Current Suffix: Multiplayer!!!!!!!! 
Iteration: 44 | Loss: 0.0 | Current Suffix:entary!!!!!!!! 
Iteration: 45 | Loss: 0.0 | Current Suffix:Cmd!!!!!!!! 
Iteration: 46 | Loss: 0.0 | Current Suffix:Lua!!!!!!!! 
Iteration: 47 | Loss: 0.0 | Current Suffix: standalone!!!!!!!! 
Iteration: 48 | Loss: 0.0 | Current Suffix:================================!!!!!!!! 
Iteration: 49 | Loss: 0.0 | Current Suffix: Mods!!!!!!!! 
Iteration: 50 | Loss: 0.0 | Current Suffix: sensors!!!!!!!! 
Iteration: 51 | Loss: 0.0 | Current Suffix: configured!!!!!!!! 
Iteration: 52 | Loss: 0.0 | Current Suffix: Surviv!!!!!!!! 
Iteration: 53 | Loss: 0.0 | Current Suffix:WARN!!!!!!!! 
Iteration: 54 | Loss: 0.0 | Current Suffix: Semin!!!!!!!! 
Iteration: 55 | Loss: 0.0 | Current Suffix: FUCK!!!!!!!! 
Iteration: 56 | Loss: 0.0 | Current Suffix: Lag!!!!!!!! 
Iteration: 57 | Loss: 0.0 | Current Suffix:pson!!!!!!!! 
Iteration: 58 | Loss: 0.0 | Current Suffix: Canaver!!!!!!!! 
Iteration: 59 | Loss: 0.0 | Current Suffix: Authors!!!!!!!! 
Iteration: 60 | Loss: 0.0 | Current Suffix:ANT!!!!!!!! 
Iteration: 61 | Loss: 0.0 | Current Suffix:gettable!!!!!!!! 
Iteration: 62 | Loss: 0.0 | Current Suffix: styled!!!!!!!! 
Iteration: 63 | Loss: 0.0 | Current Suffix:coni!!!!!!!! 
Iteration: 64 | Loss: 0.0 | Current Suffix:76561!!!!!!!! 
Iteration: 65 | Loss: 0.0 | Current Suffix: crashing!!!!!!!! 
Iteration: 66 | Loss: 0.0 | Current Suffix: collusion!!!!!!!! 
Iteration: 67 | Loss: 0.0 | Current Suffix:iatus!!!!!!!! 
Iteration: 68 | Loss: 0.0 | Current Suffix:ijing!!!!!!!! 
Iteration: 69 | Loss: 0.0 | Current Suffix: TAMADRA!!!!!!!! 
Iteration: 70 | Loss: 0.0 | Current Suffix: Chung!!!!!!!! 
Iteration: 71 | Loss: 0.0 | Current Suffix:hai!!!!!!!! 
Iteration: 72 | Loss: 0.0 | Current Suffix: Nuclear!!!!!!!! 
Iteration: 73 | Loss: 0.0 | Current Suffix:ahi!!!!!!!! 
Iteration: 74 | Loss: 0.0 | Current Suffix:jin!!!!!!!! 
Iteration: 75 | Loss: 0.0 | Current Suffix: Niet!!!!!!!! 
Iteration: 76 | Loss: 0.0 | Current Suffix: AMA!!!!!!!! 
Iteration: 77 | Loss: 0.0 | Current Suffix: Scholars!!!!!!!! 
